Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,689.5,661.47,633.45,2022-02
Tarifa No Residencial,Industrial y Comercial,Valor único,752.18,721.61,691.04,2022-02
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,626.81,601.34,575.86,2022-02
Tarifa Residencial,Estrato 1,Rango 0 - CS,250.73,240.54,230.35,2022-02
Tarifa Residencial,Estrato 1,Rango > CS,626.81,601.34,575.86,2022-02
Tarifa Residencial,Estrato 2,Rango 0 - CS,313.41,300.67,287.93,2022-02
Tarifa Residencial,Estrato 2,Rango > CS,626.81,601.34,575.86,2022-02
Tarifa Residencial,Estrato 3,Rango 0 - CS,532.79,511.14,489.48,2022-02
Tarifa Residencial,Estrato 3,Rango > CS,626.81,601.34,575.86,2022-02
Tarifa Residencial,Estrato 4,Todo el consumo,626.81,601.34,575.86,2022-02
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,752.18,721.61,691.04,2022-02
Tarifa Áreas Comunes,Con contribución,Valor único,752.18,721.61,691.04,2022-02
Tarifa Áreas Comunes,Sin contribución,Valor único,626.81,601.34,575.86,2022-02
