Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,831.95,797.33,762.69,2022-12
Tarifa No Residencial,Industrial y Comercial,Valor único,907.59,869.81,832.02,2022-12
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,756.32,724.84,693.35,2022-12
Tarifa Residencial,Estrato 1,Rango 0 - CS,303.8,291.15,278.5,2022-12
Tarifa Residencial,Estrato 1,Rango > CS,756.32,724.84,693.35,2022-12
Tarifa Residencial,Estrato 2,Rango 0 - CS,379.75,363.94,348.13,2022-12
Tarifa Residencial,Estrato 2,Rango > CS,756.32,724.84,693.35,2022-12
Tarifa Residencial,Estrato 3,Rango 0 - CS,642.87,616.12,589.35,2022-12
Tarifa Residencial,Estrato 3,Rango > CS,756.32,724.84,693.35,2022-12
Tarifa Residencial,Estrato 4,Todo el consumo,756.32,724.84,693.35,2022-12
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,907.59,869.81,832.02,2022-12
Tarifa Áreas Comunes,Con contribución,Valor único,907.59,869.81,832.02,2022-12
Tarifa Áreas Comunes,Sin contribución,Valor único,756.32,724.84,693.35,2022-12
