Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,980.19,947.78,915.36,2024-12
Tarifa No Residencial,Industrial y Comercial,Valor único,1069.3,1033.94,998.58,2024-12
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,891.09,861.62,832.15,2024-12
Tarifa Residencial,Estrato 1,Rango 0 - CS,382.54,370.69,358.85,2024-12
Tarifa Residencial,Estrato 1,Rango > CS,891.09,861.62,832.15,2024-12
Tarifa Residencial,Estrato 2,Rango 0 - CS,478.17,463.36,448.56,2024-12
Tarifa Residencial,Estrato 2,Rango > CS,891.09,861.62,832.15,2024-12
Tarifa Residencial,Estrato 3,Rango 0 - CS,757.42,732.37,707.33,2024-12
Tarifa Residencial,Estrato 3,Rango > CS,891.09,861.62,832.15,2024-12
Tarifa Residencial,Estrato 4,Todo el consumo,891.09,861.62,832.15,2024-12
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,1069.3,1033.94,998.58,2024-12
Tarifa Áreas Comunes,Con contribución,Valor único,1069.3,1033.94,998.58,2024-12
Tarifa Áreas Comunes,Sin contribución,Valor único,891.09,861.62,832.15,2024-12
