Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,1038.12,1005.97,973.83,2024-05
Tarifa No Residencial,Industrial y Comercial,Valor único,1132.49,1097.42,1062.36,2024-05
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,943.74,914.52,885.3,2024-05
Tarifa Residencial,Estrato 1,Rango 0 - CS,377.5,365.81,354.12,2024-05
Tarifa Residencial,Estrato 1,Rango > CS,943.74,914.52,885.3,2024-05
Tarifa Residencial,Estrato 2,Rango 0 - CS,471.87,457.26,442.65,2024-05
Tarifa Residencial,Estrato 2,Rango > CS,943.74,914.52,885.3,2024-05
Tarifa Residencial,Estrato 3,Rango 0 - CS,802.18,777.34,752.5,2024-05
Tarifa Residencial,Estrato 3,Rango > CS,943.74,914.52,885.3,2024-05
Tarifa Residencial,Estrato 4,Todo el consumo,943.74,914.52,885.3,2024-05
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,1132.49,1097.42,1062.36,2024-05
Tarifa Áreas Comunes,Con contribución,Valor único,1132.49,1097.42,1062.36,2024-05
Tarifa Áreas Comunes,Sin contribución,Valor único,943.74,914.52,885.3,2024-05
