Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,521.92,502.5,483.09,2018-02
Tarifa No Residencial,Industrial y Comercial,Valor único,569.37,548.19,527.01,2018-02
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,474.47,456.82,439.17,2018-02
Tarifa Residencial,Estrato 1,Rango 0 - CS,209.66,201.81,193.82,2018-02
Tarifa Residencial,Estrato 1,Rango > CS,474.47,456.82,439.17,2018-02
Tarifa Residencial,Estrato 2,Rango 0 - CS,262.08,252.26,242.27,2018-02
Tarifa Residencial,Estrato 2,Rango > CS,474.47,456.82,439.17,2018-02
Tarifa Residencial,Estrato 3,Rango 0 - CS,403.3,388.3,373.3,2018-02
Tarifa Residencial,Estrato 3,Rango > CS,474.47,456.82,439.17,2018-02
Tarifa Residencial,Estrato 4,Todo el consumo,474.47,456.82,439.17,2018-02
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,569.37,548.19,527.01,2018-02
Tarifa Áreas Comunes,Con contribución,Valor único,569.37,548.19,527.01,2018-02
Tarifa Áreas Comunes,Sin contribución,Valor único,474.47,456.82,439.17,2018-02
