Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,548.19,528.14,508.09,2018-12
Tarifa No Residencial,Industrial y Comercial,Valor único,598.03,576.15,554.28,2018-12
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,498.36,480.13,461.9,2018-12
Tarifa Residencial,Estrato 1,Rango 0 - CS,214.34,206.32,198.14,2018-12
Tarifa Residencial,Estrato 1,Rango > CS,498.36,480.13,461.9,2018-12
Tarifa Residencial,Estrato 2,Rango 0 - CS,267.93,257.89,247.68,2018-12
Tarifa Residencial,Estrato 2,Rango > CS,498.36,480.13,461.9,2018-12
Tarifa Residencial,Estrato 3,Rango 0 - CS,423.6,408.11,392.62,2018-12
Tarifa Residencial,Estrato 3,Rango > CS,498.36,480.13,461.9,2018-12
Tarifa Residencial,Estrato 4,Todo el consumo,498.36,480.13,461.9,2018-12
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,598.03,576.15,554.28,2018-12
Tarifa Áreas Comunes,Con contribución,Valor único,598.03,576.15,554.28,2018-12
Tarifa Áreas Comunes,Sin contribución,Valor único,498.36,480.13,461.9,2018-12
