Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,871.67,835.38,799.09,2023-03
Tarifa No Residencial,Industrial y Comercial,Valor único,950.91,911.33,871.74,2023-03
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,792.42,759.44,726.45,2023-03
Tarifa Residencial,Estrato 1,Rango 0 - CS,318.3,305.05,291.8,2023-03
Tarifa Residencial,Estrato 1,Rango > CS,792.42,759.44,726.45,2023-03
Tarifa Residencial,Estrato 2,Rango 0 - CS,397.87,381.31,364.74,2023-03
Tarifa Residencial,Estrato 2,Rango > CS,792.42,759.44,726.45,2023-03
Tarifa Residencial,Estrato 3,Rango 0 - CS,673.56,645.52,617.48,2023-03
Tarifa Residencial,Estrato 3,Rango > CS,792.42,759.44,726.45,2023-03
Tarifa Residencial,Estrato 4,Todo el consumo,792.42,759.44,726.45,2023-03
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,950.91,911.33,871.74,2023-03
Tarifa Áreas Comunes,Con contribución,Valor único,950.91,911.33,871.74,2023-03
Tarifa Áreas Comunes,Sin contribución,Valor único,792.42,759.44,726.45,2023-03
