Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,927.07,888.48,849.88,2023-10
Tarifa No Residencial,Industrial y Comercial,Valor único,1011.35,969.25,927.15,2023-10
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,842.79,807.71,772.62,2023-10
Tarifa Residencial,Estrato 1,Rango 0 - CS,337.12,323.08,309.05,2023-10
Tarifa Residencial,Estrato 1,Rango > CS,842.79,807.71,772.62,2023-10
Tarifa Residencial,Estrato 2,Rango 0 - CS,421.4,403.86,386.31,2023-10
Tarifa Residencial,Estrato 2,Rango > CS,842.79,807.71,772.62,2023-10
Tarifa Residencial,Estrato 3,Rango 0 - CS,716.37,686.56,656.73,2023-10
Tarifa Residencial,Estrato 3,Rango > CS,842.79,807.71,772.62,2023-10
Tarifa Residencial,Estrato 4,Todo el consumo,842.79,807.71,772.62,2023-10
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,1011.35,969.25,927.15,2023-10
Tarifa Áreas Comunes,Con contribución,Valor único,1011.35,969.25,927.15,2023-10
Tarifa Áreas Comunes,Sin contribución,Valor único,842.79,807.71,772.62,2023-10
