Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,634.13,608.36,582.59,2021-02
Tarifa No Residencial,Industrial y Comercial,Valor único,691.78,663.67,635.55,2021-02
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,576.49,553.05,529.62,2021-02
Tarifa Residencial,Estrato 1,Rango 0 - CS,230.59,221.22,211.85,2021-02
Tarifa Residencial,Estrato 1,Rango > CS,576.49,553.05,529.62,2021-02
Tarifa Residencial,Estrato 2,Rango 0 - CS,288.24,276.53,264.81,2021-02
Tarifa Residencial,Estrato 2,Rango > CS,576.49,553.05,529.62,2021-02
Tarifa Residencial,Estrato 3,Rango 0 - CS,490.01,470.1,450.18,2021-02
Tarifa Residencial,Estrato 3,Rango > CS,576.49,553.05,529.62,2021-02
Tarifa Residencial,Estrato 4,Todo el consumo,576.49,553.05,529.62,2021-02
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,691.78,663.67,635.55,2021-02
Tarifa Áreas Comunes,Con contribución,Valor único,691.78,663.67,635.55,2021-02
Tarifa Áreas Comunes,Sin contribución,Valor único,576.49,553.05,529.62,2021-02
