Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,494.03,475.53,456.7,2016-02
Tarifa No Residencial,Industrial y Comercial,Valor único,538.94,518.76,498.22,2016-02
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,449.12,432.3,415.18,2016-02
Tarifa Residencial,Estrato 1,Rango 0 - CS,180.94,173.77,167.25,2016-02
Tarifa Residencial,Estrato 1,Rango > CS,449.12,432.3,415.18,2016-02
Tarifa Residencial,Estrato 2,Rango 0 - CS,226.18,217.21,209.07,2016-02
Tarifa Residencial,Estrato 2,Rango > CS,449.12,432.3,415.18,2016-02
Tarifa Residencial,Estrato 3,Rango 0 - CS,381.75,367.45,352.91,2016-02
Tarifa Residencial,Estrato 3,Rango > CS,449.12,432.3,415.18,2016-02
Tarifa Residencial,Estrato 4,Todo el consumo,449.12,432.3,415.18,2016-02
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,538.94,518.76,498.22,2016-02
Tarifa Áreas Comunes,Con contribución,Valor único,538.94,518.76,498.22,2016-02
Tarifa Áreas Comunes,Sin contribución,Valor único,449.12,432.3,415.18,2016-02
