Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,519.02,499.87,480.71,2016-12
Tarifa No Residencial,Industrial y Comercial,Valor único,566.2,545.31,524.41,2016-12
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,471.84,454.42,437.01,2016-12
Tarifa Residencial,Estrato 1,Rango 0 - CS,199.38,191.91,184.31,2016-12
Tarifa Residencial,Estrato 1,Rango > CS,471.84,454.42,437.01,2016-12
Tarifa Residencial,Estrato 2,Rango 0 - CS,249.23,239.89,230.39,2016-12
Tarifa Residencial,Estrato 2,Rango > CS,471.84,454.42,437.01,2016-12
Tarifa Residencial,Estrato 3,Rango 0 - CS,401.06,386.26,371.46,2016-12
Tarifa Residencial,Estrato 3,Rango > CS,471.84,454.42,437.01,2016-12
Tarifa Residencial,Estrato 4,Todo el consumo,471.84,454.42,437.01,2016-12
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,566.2,545.31,524.41,2016-12
Tarifa Áreas Comunes,Con contribución,Valor único,566.2,545.31,524.41,2016-12
Tarifa Áreas Comunes,Sin contribución,Valor único,471.84,454.42,437.01,2016-12
