Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,548.3,527.76,506.87,2016-09
Tarifa No Residencial,Industrial y Comercial,Valor único,598.14,575.74,552.95,2016-09
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,498.45,479.78,460.79,2016-09
Tarifa Residencial,Estrato 1,Rango 0 - CS,199.38,191.91,184.32,2016-09
Tarifa Residencial,Estrato 1,Rango > CS,498.45,479.78,460.79,2016-09
Tarifa Residencial,Estrato 2,Rango 0 - CS,249.23,239.89,230.39,2016-09
Tarifa Residencial,Estrato 2,Rango > CS,498.45,479.78,460.79,2016-09
Tarifa Residencial,Estrato 3,Rango 0 - CS,423.69,407.82,391.67,2016-09
Tarifa Residencial,Estrato 3,Rango > CS,498.45,479.78,460.79,2016-09
Tarifa Residencial,Estrato 4,Todo el consumo,498.45,479.78,460.79,2016-09
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,598.14,575.74,552.95,2016-09
Tarifa Áreas Comunes,Con contribución,Valor único,598.14,575.74,552.95,2016-09
Tarifa Áreas Comunes,Sin contribución,Valor único,498.45,479.78,460.79,2016-09
