Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,525.27,506.16,487.06,2017-03
Tarifa No Residencial,Industrial y Comercial,Valor único,573.02,552.18,531.34,2017-03
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,477.51,460.15,442.78,2017-03
Tarifa Residencial,Estrato 1,Rango 0 - CS,204.29,196.64,188.85,2017-03
Tarifa Residencial,Estrato 1,Rango > CS,477.51,460.15,442.78,2017-03
Tarifa Residencial,Estrato 2,Rango 0 - CS,255.36,245.8,236.06,2017-03
Tarifa Residencial,Estrato 2,Rango > CS,477.51,460.15,442.78,2017-03
Tarifa Residencial,Estrato 3,Rango 0 - CS,405.89,391.13,376.36,2017-03
Tarifa Residencial,Estrato 3,Rango > CS,477.51,460.15,442.78,2017-03
Tarifa Residencial,Estrato 4,Todo el consumo,477.51,460.15,442.78,2017-03
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,573.02,552.18,531.34,2017-03
Tarifa Áreas Comunes,Con contribución,Valor único,573.02,552.18,531.34,2017-03
Tarifa Áreas Comunes,Sin contribución,Valor único,477.51,460.15,442.78,2017-03
