Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,508.48,489.29,470.1,2017-09
Tarifa No Residencial,Industrial y Comercial,Valor único,554.71,533.77,512.84,2017-09
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,462.25,444.81,427.37,2017-09
Tarifa Residencial,Estrato 1,Rango 0 - CS,207.1,199.34,191.44,2017-09
Tarifa Residencial,Estrato 1,Rango > CS,462.25,444.81,427.37,2017-09
Tarifa Residencial,Estrato 2,Rango 0 - CS,258.87,249.17,239.3,2017-09
Tarifa Residencial,Estrato 2,Rango > CS,462.25,444.81,427.37,2017-09
Tarifa Residencial,Estrato 3,Rango 0 - CS,392.92,378.09,363.26,2017-09
Tarifa Residencial,Estrato 3,Rango > CS,462.25,444.81,427.37,2017-09
Tarifa Residencial,Estrato 4,Todo el consumo,462.25,444.81,427.37,2017-09
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,554.71,533.77,512.84,2017-09
Tarifa Áreas Comunes,Con contribución,Valor único,554.71,533.77,512.84,2017-09
Tarifa Áreas Comunes,Sin contribución,Valor único,462.25,444.81,427.37,2017-09
