Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,562.74,542.15,521.55,2019-06
Tarifa No Residencial,Industrial y Comercial,Valor único,613.9,591.43,568.97,2019-06
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,511.58,492.86,474.14,2019-06
Tarifa Residencial,Estrato 1,Rango 0 - CS,220.23,211.99,203.59,2019-06
Tarifa Residencial,Estrato 1,Rango > CS,511.58,492.86,474.14,2019-06
Tarifa Residencial,Estrato 2,Rango 0 - CS,275.29,264.98,254.49,2019-06
Tarifa Residencial,Estrato 2,Rango > CS,511.58,492.86,474.14,2019-06
Tarifa Residencial,Estrato 3,Rango 0 - CS,434.84,418.93,403.02,2019-06
Tarifa Residencial,Estrato 3,Rango > CS,511.58,492.86,474.14,2019-06
Tarifa Residencial,Estrato 4,Todo el consumo,511.58,492.86,474.14,2019-06
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,613.9,591.43,568.97,2019-06
Tarifa Áreas Comunes,Con contribución,Valor único,613.9,591.43,568.97,2019-06
Tarifa Áreas Comunes,Sin contribución,Valor único,511.58,492.86,474.14,2019-06
