Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,564.68,544.16,523.65,2019-07
Tarifa No Residencial,Industrial y Comercial,Valor único,616.02,593.63,571.25,2019-07
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,513.35,494.69,476.04,2019-07
Tarifa Residencial,Estrato 1,Rango 0 - CS,220.82,212.54,204.13,2019-07
Tarifa Residencial,Estrato 1,Rango > CS,513.35,494.69,476.04,2019-07
Tarifa Residencial,Estrato 2,Rango 0 - CS,276.02,265.68,255.16,2019-07
Tarifa Residencial,Estrato 2,Rango > CS,513.35,494.69,476.04,2019-07
Tarifa Residencial,Estrato 3,Rango 0 - CS,436.35,420.49,404.64,2019-07
Tarifa Residencial,Estrato 3,Rango > CS,513.35,494.69,476.04,2019-07
Tarifa Residencial,Estrato 4,Todo el consumo,513.35,494.69,476.04,2019-07
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,616.02,593.63,571.25,2019-07
Tarifa Áreas Comunes,Con contribución,Valor único,616.02,593.63,571.25,2019-07
Tarifa Áreas Comunes,Sin contribución,Valor único,513.35,494.69,476.04,2019-07
