Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,434.68,417.55,400.41,2015-01
Tarifa No Residencial,Industrial y Comercial,Valor único,474.2,455.51,436.82,2015-01
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,395.17,379.59,364.01,2015-01
Tarifa Residencial,Estrato 1,Rango 0 - CS,167.31,160.67,154.65,2015-01
Tarifa Residencial,Estrato 1,Rango > CS,395.17,379.59,364.01,2015-01
Tarifa Residencial,Estrato 2,Rango 0 - CS,209.13,200.84,193.31,2015-01
Tarifa Residencial,Estrato 2,Rango > CS,395.17,379.59,364.01,2015-01
Tarifa Residencial,Estrato 3,Rango 0 - CS,335.89,322.65,309.41,2015-01
Tarifa Residencial,Estrato 3,Rango > CS,395.17,379.59,364.01,2015-01
Tarifa Residencial,Estrato 4,Todo el consumo,395.17,379.59,364.01,2015-01
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,474.2,455.51,436.82,2015-01
Tarifa Áreas Comunes,Con contribución,Valor único,474.2,455.51,436.82,2015-01
Tarifa Áreas Comunes,Sin contribución,Valor único,395.17,379.59,364.01,2015-01
