Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,459.02,440.9,422.78,2015-09
Tarifa No Residencial,Industrial y Comercial,Valor único,500.75,480.98,461.21,2015-09
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,417.29,400.82,384.34,2015-09
Tarifa Residencial,Estrato 1,Rango 0 - CS,174.03,167.13,160.87,2015-09
Tarifa Residencial,Estrato 1,Rango > CS,417.29,400.82,384.34,2015-09
Tarifa Residencial,Estrato 2,Rango 0 - CS,217.54,208.92,201.08,2015-09
Tarifa Residencial,Estrato 2,Rango > CS,417.29,400.82,384.34,2015-09
Tarifa Residencial,Estrato 3,Rango 0 - CS,354.7,340.69,326.69,2015-09
Tarifa Residencial,Estrato 3,Rango > CS,417.29,400.82,384.34,2015-09
Tarifa Residencial,Estrato 4,Todo el consumo,417.29,400.82,384.34,2015-09
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,500.75,480.98,461.21,2015-09
Tarifa Áreas Comunes,Con contribución,Valor único,500.75,480.98,461.21,2015-09
Tarifa Áreas Comunes,Sin contribución,Valor único,417.29,400.82,384.34,2015-09
