Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,454.0,436.27,418.54,2015-08
Tarifa No Residencial,Industrial y Comercial,Valor único,495.27,475.93,456.59,2015-08
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,412.73,396.61,380.49,2015-08
Tarifa Residencial,Estrato 1,Rango 0 - CS,173.2,166.33,160.09,2015-08
Tarifa Residencial,Estrato 1,Rango > CS,412.73,396.61,380.49,2015-08
Tarifa Residencial,Estrato 2,Rango 0 - CS,216.5,207.91,200.12,2015-08
Tarifa Residencial,Estrato 2,Rango > CS,412.73,396.61,380.49,2015-08
Tarifa Residencial,Estrato 3,Rango 0 - CS,350.82,337.12,323.42,2015-08
Tarifa Residencial,Estrato 3,Rango > CS,412.73,396.61,380.49,2015-08
Tarifa Residencial,Estrato 4,Todo el consumo,412.73,396.61,380.49,2015-08
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,495.27,475.93,456.59,2015-08
Tarifa Áreas Comunes,Con contribución,Valor único,495.27,475.93,456.59,2015-08
Tarifa Áreas Comunes,Sin contribución,Valor único,412.73,396.61,380.49,2015-08
