Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,448.12,430.88,413.65,2015-03
Tarifa No Residencial,Industrial y Comercial,Valor único,488.86,470.05,451.25,2015-03
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,407.38,391.71,376.04,2015-03
Tarifa Residencial,Estrato 1,Rango 0 - CS,170.32,163.57,157.44,2015-03
Tarifa Residencial,Estrato 1,Rango > CS,407.38,391.71,376.04,2015-03
Tarifa Residencial,Estrato 2,Rango 0 - CS,212.9,204.46,196.8,2015-03
Tarifa Residencial,Estrato 2,Rango > CS,407.38,391.71,376.04,2015-03
Tarifa Residencial,Estrato 3,Rango 0 - CS,346.28,332.96,319.64,2015-03
Tarifa Residencial,Estrato 3,Rango > CS,407.38,391.71,376.04,2015-03
Tarifa Residencial,Estrato 4,Todo el consumo,407.38,391.71,376.04,2015-03
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,488.86,470.05,451.25,2015-03
Tarifa Áreas Comunes,Con contribución,Valor único,488.86,470.05,451.25,2015-03
Tarifa Áreas Comunes,Sin contribución,Valor único,407.38,391.71,376.04,2015-03
