Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,624.1,598.73,573.37,2020-02
Tarifa No Residencial,Industrial y Comercial,Valor único,680.83,653.16,625.49,2020-02
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,567.36,544.3,521.24,2020-02
Tarifa Residencial,Estrato 1,Rango 0 - CS,226.94,217.72,208.5,2020-02
Tarifa Residencial,Estrato 1,Rango > CS,567.36,544.3,521.24,2020-02
Tarifa Residencial,Estrato 2,Rango 0 - CS,283.68,272.15,260.62,2020-02
Tarifa Residencial,Estrato 2,Rango > CS,567.36,544.3,521.24,2020-02
Tarifa Residencial,Estrato 3,Rango 0 - CS,482.26,462.66,443.05,2020-02
Tarifa Residencial,Estrato 3,Rango > CS,567.36,544.3,521.24,2020-02
Tarifa Residencial,Estrato 4,Todo el consumo,567.36,544.3,521.24,2020-02
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,680.83,653.16,625.49,2020-02
Tarifa Áreas Comunes,Con contribución,Valor único,680.83,653.16,625.49,2020-02
Tarifa Áreas Comunes,Sin contribución,Valor único,567.36,544.3,521.24,2020-02
